Time:31.41225 Axis vector:(-0.5, -0.5) Thumbrotation:-134.4375
Time:31.51282 Axis vector:(-0.5, -0.5) Thumbrotation:-134.6844
Time:31.6132 Axis vector:(-0.5, -0.5) Thumbrotation:-134.9913
Time:31.71382 Axis vector:(-0.5, -0.5) Thumbrotation:-135.203
Time:31.81432 Axis vector:(-0.5, -0.5) Thumbrotation:-135.2982
Time:31.91492 Axis vector:(-0.5, -0.5) Thumbrotation:-135.3931
Time:32.01524 Axis vector:(-0.5, -0.5) Thumbrotation:-135.5268
Time:32.11594 Axis vector:(-0.5, -0.5) Thumbrotation:-135.6037
Time:32.21698 Axis vector:(-0.5, -0.5) Thumbrotation:-135.6657
Time:32.31711 Axis vector:(-0.5, -0.5) Thumbrotation:-135.7203
Time:32.41743 Axis vector:(-0.5, -0.5) Thumbrotation:-135.7512
Time:32.51812 Axis vector:(-0.5, -0.5) Thumbrotation:-135.774
Time:32.61837 Axis vector:(-0.5, -0.5) Thumbrotation:-135.8129
Time:32.71906 Axis vector:(-0.5, -0.5) Thumbrotation:-135.8975
Time:32.81947 Axis vector:(-0.5, -0.5) Thumbrotation:-135.9492
Time:32.92 Axis vector:(-0.5, -0.5) Thumbrotation:-135.9993
Time:33.02068 Axis vector:(-0.5, -0.5) Thumbrotation:-136.0453
Time:33.12108 Axis vector:(-0.5, -0.5) Thumbrotation:-136.0424
Time:33.2216 Axis vector:(-0.5, -0.5) Thumbrotation:-136.0395
Time:33.32221 Axis vector:(-0.5, -0.5) Thumbrotation:-136.1127
Time:33.42288 Axis vector:(-0.5, -0.5) Thumbrotation:-136.2162
Time:33.52311 Axis vector:(-0.5, -0.5) Thumbrotation:-136.2942
Time:33.62362 Axis vector:(-0.5, -0.5) Thumbrotation:-136.3535
Time:33.72416 Axis vector:(-0.5, -0.5) Thumbrotation:-136.3946
Time:33.82472 Axis vector:(-0.5, -0.5) Thumbrotation:-136.5121
Time:33.92533 Axis vector:(-0.5, -0.5) Thumbrotation:-136.6048
Time:34.02584 Axis vector:(-0.5, -0.5) Thumbrotation:-136.7043
Time:34.12632 Axis vector:(-0.5, -0.5) Thumbrotation:-136.7844
Time:34.22689 Axis vector:(-0.5, -0.5) Thumbrotation:-136.7712
Time:34.32734 Axis vector:(-0.5, -0.5) Thumbrotation:-136.7451
Time:34.42797 Axis vector:(-0.5, -0.5) Thumbrotation:-136.7523
Time:34.52847 Axis vector:(-0.5, -0.5) Thumbrotation:-136.7809
Time:34.62931 Axis vector:(-0.5, -0.5) Thumbrotation:-136.8057
Time:34.72946 Axis vector:(-0.5, -0.5) Thumbrotation:-136.828
Time:34.82996 Axis vector:(-0.5, -0.5) Thumbrotation:-136.8519
Time:34.93063 Axis vector:(-0.5, -0.5) Thumbrotation:-136.918
Time:35.03117 Axis vector:(-0.5, -0.5) Thumbrotation:-137.0335
Time:35.13174 Axis vector:(-0.5, -0.5) Thumbrotation:-137.1429
Time:35.23243 Axis vector:(-0.5, -0.5) Thumbrotation:-137.1672
Time:35.33294 Axis vector:(-0.5, -0.5) Thumbrotation:-137.111
Time:35.43341 Axis vector:(-0.5, -0.5) Thumbrotation:-137.0401
Time:35.53358 Axis vector:(-0.5, -0.5) Thumbrotation:-137.0217
Time:35.63415 Axis vector:(-0.5, -0.5) Thumbrotation:-136.383
Time:35.73461 Axis vector:(-0.6, -0.3) Thumbrotation:-115.1639
Time:35.83556 Axis vector:(-0.6, 0.0) Thumbrotation:-90.90076
Time:35.94733 Axis vector:(-0.5, 0.2) Thumbrotation:-63.26994
Time:36.0474 Axis vector:(-0.3, 0.3) Thumbrotation:-43.4169
Time:36.14806 Axis vector:(-0.1, 0.3) Thumbrotation:-14.35227
Time:36.2485 Axis vector:(0.1, 0.3) Thumbrotation:17.72396
Time:36.34924 Axis vector:(0.3, 0.2) Thumbrotation:58.79333
Time:36.44956 Axis vector:(0.4, -0.1) Thumbrotation:99.41975
Time:36.55016 Axis vector:(0.3, -0.4) Thumbrotation:145.1295
Time:36.65079 Axis vector:(0.1, -0.6) Thumbrotation:166.5125
Time:36.75129 Axis vector:(0.1, -0.6) Thumbrotation:171.5556
Time:36.85179 Axis vector:(0.1, -0.6) Thumbrotation:172.2157
Time:36.95228 Axis vector:(0.1, -0.6) Thumbrotation:172.1776
Time:37.05301 Axis vector:(0.1, -0.6) Thumbrotation:171.412
Time:37.15332 Axis vector:(0.1, -0.6) Thumbrotation:170.937
