Start time:0.3071694
Time:76.01833 Axis vector:(-0.2, 0.3) Thumbrotation:-34.80951
Time:76.12084 Axis vector:(-0.2, 0.3) Thumbrotation:-34.70419
Time:76.32678 Axis vector:(-0.2, 0.3) Thumbrotation:-34.58399
Time:76.43008 Axis vector:(-0.2, 0.3) Thumbrotation:-34.92616
Time:76.55375 Axis vector:(-0.3, 0.4) Thumbrotation:-35.29089
Time:76.74824 Axis vector:(-0.3, 0.6) Thumbrotation:-31.49373
Time:77.4233 Axis vector:(-0.5, 0.1) Thumbrotation:-78.59021
Time:77.52438 Axis vector:(-0.6, -0.1) Thumbrotation:-98.30137
Time:77.68417 Axis vector:(-0.6, -0.1) Thumbrotation:-96.16628
Time:77.7956 Axis vector:(-0.6, 0.0) Thumbrotation:-93.21677
Time:77.97416 Axis vector:(-0.6, 0.0) Thumbrotation:-87.07744
Time:78.1412 Axis vector:(-0.6, 0.1) Thumbrotation:-84.42445
Time:78.31143 Axis vector:(-0.6, 0.1) Thumbrotation:-83.95844
Time:78.48357 Axis vector:(-0.6, 0.1) Thumbrotation:-83.88454
Time:78.7589 Axis vector:(-0.6, 0.1) Thumbrotation:-83.73035
Time:78.93063 Axis vector:(-0.6, 0.1) Thumbrotation:-82.68343
Time:79.08886 Axis vector:(-0.6, 0.1) Thumbrotation:-79.60879
Time:79.22044 Axis vector:(-0.6, 0.1) Thumbrotation:-77.53208
Time:79.33886 Axis vector:(-0.6, 0.1) Thumbrotation:-76.61709
Time:79.45724 Axis vector:(-0.6, 0.2) Thumbrotation:-76.01082
Time:79.56609 Axis vector:(-0.6, 0.2) Thumbrotation:-75.26488
Time:79.6803 Axis vector:(-0.6, 0.2) Thumbrotation:-74.65974
Time:79.7947 Axis vector:(-0.6, 0.2) Thumbrotation:-74.43475
Time:79.90786 Axis vector:(-0.6, 0.2) Thumbrotation:-74.18604
Time:80.02122 Axis vector:(-0.7, 0.2) Thumbrotation:-73.68366
Time:80.14193 Axis vector:(-0.7, 0.2) Thumbrotation:-72.13122
Time:80.24995 Axis vector:(-0.7, 0.2) Thumbrotation:-70.18552
Time:80.37703 Axis vector:(-0.6, 0.3) Thumbrotation:-66.81072
Time:80.491 Axis vector:(-0.6, 0.3) Thumbrotation:-63.48661
Time:80.61344 Axis vector:(-0.6, 0.3) Thumbrotation:-60.27865
Time:80.74784 Axis vector:(-0.5, 0.3) Thumbrotation:-59.36022
Time:80.8849 Axis vector:(-0.6, 0.3) Thumbrotation:-59.42712
Time:81.01695 Axis vector:(-0.6, 0.3) Thumbrotation:-58.67889
Time:81.1463 Axis vector:(-0.6, 0.4) Thumbrotation:-56.14325
Time:81.27951 Axis vector:(-0.6, 0.4) Thumbrotation:-53.34884
Time:83.2927 Axis vector:(-1.0, -0.2) Thumbrotation:-103.3091
Time:83.46225 Axis vector:(-1.0, -0.2) Thumbrotation:-100.7309
Time:83.61265 Axis vector:(-1.0, -0.2) Thumbrotation:-101.1
Time:83.79333 Axis vector:(-1.0, -0.2) Thumbrotation:-101.1548
Time:83.9451 Axis vector:(-1.0, -0.2) Thumbrotation:-101.1641
